building_name,sent_date,sent_method,tour_status,tour_date,tour_time,tour_type,rejection_reason,replacement_requested,notes,timestamp
The Ventura,none,none,none,none,none,none,none,False,Agent mentioned a 20% commission for this building,none
Alexan 5151,none,none,none,none,none,Self-Guided Tour,none,False,Client can walk in anytime,none
Stonewood,none,none,none,none,none,Self-Guided Tour,none,False,Client can walk in anytime,none
Phoenician,none,none,none,none,none,Self-Guided Tour,none,False,Client can walk in anytime,none
Phoenician,none,none,none,none,none,Self-Guided Tour,none,False,Client can walk in anytime,none
Phoenician,none,none,none,none,none,Self-Guided Tour,none,False,Client can walk in anytime,none
Reverie at River Hollow,none,none,none,none,none,Self-Guided Tour,none,False,Client can walk in anytime,none
7 Riverway,none,none,none,none,none,Self-Guided Tour,none,False,Client can walk in anytime,none
Reverie at River Hollow,none,none,none,none,none,Self-Guided Tour,none,False,"Client can walk in anytime, average price is above the client's budget",none
7 Riverway,none,none,none,none,none,Self-Guided Tour,none,False,"Client can walk in anytime, average price is above the client's budget",none
Reverie at River Hollow,none,none,none,none,none,Self-Guided Tour,none,False,"Client can walk in anytime, average price is above the client's budget",none
Reverie at River Hollow,none,none,none,none,none,Self-Guided Tour,none,False,Client can walk in anytime,none
7 Riverway,none,none,none,none,none,Self-Guided Tour,none,False,"Client can walk in anytime, average price is above the client's budget",none
The Gibson,none,none,none,none,none,Self-Guided Tour,none,False,Agent has the keys for it,none
Phoenician,none,none,none,none,none,Self-Guided Tour,none,False,Client can walk in anytime,none
Reverie at River Hollow,none,none,none,none,none,Self-Guided Tour,none,False,Client can walk in anytime,none
Reverie at River Hollow,none,none,none,none,none,Self-Guided Tour,none,False,Client can walk in anytime,none
Reverie at River Hollow,none,none,none,none,none,Self-Guided Tour,none,False,Client can walk in anytime,none
Reverie at River Hollow,none,none,none,none,none,Self-Guided Tour,none,False,Client can walk in anytime,none
Reverie at River Hollow,none,none,none,none,none,Self-Guided Tour,none,False,Client can walk in anytime,none
Reverie at River Hollow,none,none,none,none,none,Self-Guided Tour,none,False,Client can walk in anytime,none
Reverie at River Hollow,none,none,none,none,none,Self-Guided Tour,none,False,Client can walk in anytime,none
7 Riverway,none,none,none,none,none,Self-Guided Tour,none,False,Client can walk in anytime,none
Hollow Tree Park,none,none,none,none,none,Self-Guided Tour,none,False,Client can walk in anytime,none
Hollow Tree Park,none,none,none,none,none,Self-Guided Tour,none,False,Client can walk in anytime,none
